judul_film,tahun_film,durasi_film,batas_usia,sinopsis_film,rating_film,jumlah_perating
54. Mission: Impossible - Dead Reckoning Part One,2023,2h 43m,PG-13,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.,7.7,(264K)
55. Kingsman: The Secret Service,2014,2h 9m,R,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.",7.7,(731K)
56. Deliverance,1972,1h 49m,R,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country.",7.7,(121K)
57. Anatomy of a Fall,2023,2h 31m,R,A woman is suspected of murder after her husband's death; their half-blind son faces a moral dilemma as the main witness.,7.7,(149K)
58. Ocean's Eleven,2001,1h 56m,PG-13,"Danny Ocean, a gangster, rounds up a gang of associates to stage a sophisticated and elaborate casino heist which involves robbing three Las Vegas casinos simultaneously during a popular boxing event.",7.7,(629K)
59. Harry Potter and the Goblet of Fire,2005,2h 37m,PG-13,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",7.7,(693K)
60. John Wick: Chapter 4,2023,2h 49m,R,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",7.7,(350K)
61. Zodiac,2007,2h 37m,R,"Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.",7.7,(611K)
62. Sicario,2015,2h 1m,R,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,7.7,(487K)
63. Halloween,1978,1h 31m,R,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",7.7,(312K)
64. Apollo 13,1995,2h 20m,PG,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,7.7,(320K)
65. All of Us Strangers,2023,1h 45m,R,A screenwriter drawn back to his childhood home enters into a fledgling relationship with his downstairs neighbor while discovering a mysterious new way to heal from losing his parents 30 years ago.,7.7,(58K)
66. 500 Days of Summer,2009,1h 35m,PG-13,"After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back.",7.7,(570K)
67. Godzilla Minus One,2023,2h 4m,PG-13,A kamikaze pilot plagued by survivor's guilt seeks redemption when a giant monster he failed to kill is transformed by radiation from atomic bomb tests and lays siege to post-WWII Japan.,7.7,(149K)
68. Wind River,2017,1h 47m,R,"A wildlife officer, who is haunted by a tragedy that happened because of him, teams up with an FBI agent in solving a murder of a young woman on a Wyoming Native American reservation and hopes to get redemption from his past regrets.",7.7,(285K)
69. The Hangover,2009,1h 40m,R,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",7.7,(861K)
70. Blue Is the Warmest Colour,2013,3h,NC-17,"Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss.",7.7,(165K)
71. X-Men: First Class,2011,2h 11m,PG-13,"In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them.",7.7,(735K)
72. Home Alone,1990,1h 43m,PG,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas Eve.",7.7,(662K)
73. Ex Machina,2014,1h 48m,R,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,7.7,(602K)
74. Lost in Translation,2003,1h 42m,R,A fading movie star falls for a lonely young woman in Tokyo.,7.7,(499K)
75. The Banshees of Inisherin,2022,1h 54m,R,"Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them.",7.7,(262K)
76. The Game,1997,2h 9m,R,"After a wealthy San Francisco banker is given an opportunity to participate in a mysterious game, his life is turned upside down as he begins to question if it might really be a concealed conspiracy to destroy him.",7.7,(438K)
77. Harry Potter and the Deathly Hallows: Part 1,2010,2h 26m,PG-13,"As Harry, Ron and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.",7.7,(610K)
78. Brokeback Mountain,2005,2h 14m,R,Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.,7.7,(390K)
79. A Few Good Men,1992,2h 18m,R,A military lawyer is tasked with defending two US Marines charged with murdering a fellow Marine and intends to prove they were only following their base commander's orders.,7.7,(293K)
